成	B
都	M
市	E
武	B
侯	M
区	E
人	B
民	E
法	B
院	E

民	B
事	E
裁	B
定	M
书	E

（	S
2	B
0	M
1	M
5	E
）	S
武	B
侯	E
民	B
初	E
字	S
第	B
7	M
0	M
4	M
3	E
号	S

原	B
告	E
王	B
某	E
，	S
。	S
住	S
成	B
都	M
市	E
武	B
侯	M
区	E
。	S

委	B
托	E
代	B
理	M
人	E
潘	B
锡	M
某	E
，	S
系	S
北	B
京	E
万	B
商	E
天	B
勤	E
（	S
成	B
都	E
）	S
律	B
师	E
事	B
务	M
所	E
律	B
师	E
。	S

被	B
告	E
唐	B
某	E
，	S
住	S
成	B
都	M
市	E
青	B
羊	M
区	E
。	S

被	B
告	E
周	B
某	E
，	S
住	S
成	B
都	M
市	E
青	B
羊	M
区	E
。	S

被	B
告	E
唐	B
某	E
，	S
住	S
成	B
都	M
市	E
青	B
羊	M
区	E
。	S

本	B
院	E
在	S
审	B
理	E
原	B
告	E
王	B
某	E
诉	S
被	B
告	E
唐	B
某	E
、	S
被	B
告	E
周	B
某	E
、	S
被	B
告	E
唐	B
某	E
民	B
间	E
借	B
贷	E
纠	B
纷	E
一	B
案	E
中	S
，	S
原	B
告	E
王	B
某	E
于	S
2	B
0	M
1	M
5	M
年	E
8	B
月	E
1	B
2	M
日	E
申	B
请	E
撤	B
诉	E
。	S

本	B
院	E
认	B
为	E
，	S
原	B
告	E
王	B
某	E
的	S
撤	B
诉	E
申	B
请	E
系	S
其	S
真	B
实	E
意	B
思	E
表	B
示	E
，	S
理	B
由	E
正	B
当	E
、	S
合	B
法	E
，	S
应	S
予	S
支	B
持	E
。	S
依	B
照	E
《	S
中	B
华	E
人	B
民	E
共	B
和	M
国	E
民	B
事	E
诉	B
讼	M
法	E
》	S
第	B
一	M
百	M
四	M
十	M
五	E
条	S
第	B
一	E
款	S
之	S
规	B
定	E
，	S
裁	B
定	E
如	B
下	E
：	S

准	B
予	E
原	B
告	E
王	B
某	E
撤	B
回	E
对	S
被	B
告	E
唐	B
某	E
、	S
被	B
告	E
周	B
某	E
、	S
被	B
告	E
唐	B
某	E
的	S
起	B
诉	E
。	S

案	B
件	E
受	B
理	M
费	E
4	B
0	M
3	M
3	M
0	E
元	S
，	S
予	B
以	E
免	B
收	E
。	S

审	B
判	M
员	E
赵	B
阳	E

二	B
0	M
一	M
五	M
年	E
八	B
月	E
十	B
二	M
日	E

书	B
记	M
员	E
梁	B
新	M
玉	E
，	S

成	B
都	M
市	E
锦	B
江	M
区	E
人	B
民	E
法	B
院	E

民	B
事	E
裁	B
定	M
书	E

（	S
2	B
0	M
1	M
2	E
）	S
锦	B
江	E
民	B
初	E
字	S
第	B
3	M
9	M
0	M
8	E
号	S

原	B
告	E
蔡	B
丹	M
红	E
。	S

委	B
托	E
代	B
理	M
人	E
胡	B
磊	E
，	S
四	B
川	E
迪	B
杨	E
律	B
师	E
事	B
务	M
所	E
律	B
师	E
。	S

委	B
托	E
代	B
理	M
人	E
岳	B
萍	E
，	S
四	B
川	M
迪	M
杨	E
律	B
师	E
事	B
